Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0021,國立臺灣大學,大氣科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,15,358.95,---,---,---,---,---,---
0022,國立臺灣大學,政治學系政治理論組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,30,460.61,---,---,---,---,---,---
0023,國立臺灣大學,政治學系國際關係組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,30,471.25,---,---,---,---,---,---
0024,國立臺灣大學,政治學系公共行政組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,29,464.34,---,---,---,---,---,---
0025,國立臺灣大學,經濟學系,國x1.00 英x1.50 數乙x2.00,53,403.63,---,---,---,---,---,---
0026,國立臺灣大學,社會學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,21,414.72,---,422.69,---,---,---,---
0027,國立臺灣大學,社會工作學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 公x1.00,21,445.69,---,---,---,---,---,---
0030,國立臺灣大學,醫學系(自費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,54,449.60,---,533.12,---,---,---,---
0031,國立臺灣大學,醫學系(公費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,3,425.90,---,---,---,---,---,---
0032,國立臺灣大學,牙醫學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,16,439.90,---,470.75,---,---,---,---
0033,國立臺灣大學,藥學系,英x1.00 數甲x1.00 物x1.00 化x1.50 生x1.00,15,451.55,---,506.17,---,---,---,---
0034,國立臺灣大學,醫學檢驗暨生物技術學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,20,392.95,---,---,---,---,---,---
0035,國立臺灣大學,護理學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,23,368.20,---,---,---,---,---,---
0036,國立臺灣大學,物理治療學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,18,399.55,生物92.10,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0040,國立臺灣大學,土木工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,35,361.85,---,---,---,---,---,---
0041,國立臺灣大學,機械工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,51,371.40,---,383.60,---,---,---,---
0042,國立臺灣大學,化學工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,48,378.90,---,391.37,---,---,---,---
0043,國立臺灣大學,工程科學及海洋工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,19,372.55,---,---,---,---,---,---
0044,國立臺灣大學,材料科學與工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,21,397.15,---,---,---,---,---,---
0045,國立臺灣大學,醫學工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,11,380.90,---,---,---,---,---,---
0046,國立臺灣大學,農藝學系,國x1.00 英x1.00 數甲x1.00 化x1.25 生x1.25,16,405.90,---,---,---,---,---,---
0047,國立臺灣大學,生物環境系統工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,19,352.80,---,---,---,---,---,---
0050,國立臺灣大學,農業化學系,英x1.00 數甲x1.00 物x1.00 化x1.50 生x1.50,12,459.75,化學92.00,---,---,---,---,---
0051,國立臺灣大學,森林環境暨資源學系,英x1.00 數甲x1.00 物x1.50 化x1.50 生x2.00,27,483.55,---,---,---,---,---,---
0052,國立臺灣大學,動物科學技術學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,15,363.00,---,---,---,---,---,---
0053,國立臺灣大學,農業經濟學系,國x1.50 英x2.00 數甲x2.00,22,417.60,---,---,---,---,---,---
0054,國立臺灣大學,園藝暨景觀學系,國x1.00 英x1.00 物x1.00 化x1.50 生x1.50,23,437.15,---,---,439.33,---,---,---
0055,國立臺灣大學,獸醫學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,24,404.95,英文93.25,409.79,---,---,---,---
0056,國立臺灣大學,生物產業傳播暨發展學系,國x1.50 英x1.50 數乙x1.50 歷x1.00 地x1.00,22,540.78,---,577.67,---,---,---,---
0057,國立臺灣大學,生物機電工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,23,367.35,---,---,---,---,---,---
0060,國立臺灣大學,昆蟲學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,17,336.80,生物78.30,---,---,---,---,---
0061,國立臺灣大學,植物病理與微生物學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,20,375.00,---,---,---,---,---,---
0062,國立臺灣大學,工商管理學系企業管理組,國x1.00 英x2.00 數乙x2.00 歷x1.00 地x1.00,17,622.00,---,---,---,---,---,---
0063,國立臺灣大學,工商管理學系科技管理組,國x1.00 英x2.00 數甲x2.00 物x1.00 化x1.00,16,536.60,---,---,---,---,---,---
0064,國立臺灣大學,會計學系,國x1.25 英x2.00 數乙x1.25 歷x1.00 地x1.00,52,568.50,---,586.79,---,---,---,---
0065,國立臺灣大學,財務金融學系,國x1.00 英x1.50 數乙x2.00,60,411.78,---,424.50,---,---,---,427.89
0066,國立臺灣大學,國際企業學系,國x1.00 英x2.00 數乙x2.00 歷x1.00 地x1.00,36,626.60,---,654.62,---,---,---,---
0067,國立臺灣大學,資訊管理學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,17,394.90,---,---,---,---,---,---
0070,國立臺灣大學,公共衛生學系A組,英x1.25 數甲x1.25 化x1.00,10,275.03,---,---,279.58,---,---,---
0071,國立臺灣大學,公共衛生學系B組,國x1.00 英x1.25 數乙x1.25 公x1.00,5,377.58,---,---,---,---,---,---
0072,國立臺灣大學,電機工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,47,415.60,---,497.75,---,---,---,---
0073,國立臺灣大學,資訊工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,33,409.20,---,513.81,---,---,---,---
0074,國立臺灣大學,法律學系法學組,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.25,33,451.55,---,469.67,---,---,---,---
0075,國立臺灣大學,法律學系司法組,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.25,34,456.70,---,512.87,---,---,---,---
0076,國立臺灣大學,法律學系財經法學組,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.25,35,466.05,---,489.55,---,---,---,---
0077,國立臺灣大學,生命科學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,17,380.35,---,---,384.30,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0101,國立臺灣師範大學,教育學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,23,456.45,---,542.67,---,---,---,---
0102,國立臺灣師範大學,教育心理與輔導學系,國x1.00 英x1.25 數乙x1.25 歷x1.00 公x1.00,10,448.36,---,451.69,---,---,---,---
0103,國立臺灣師範大學,社會教育學系,國x1.50 英x1.50 歷x1.00 地x1.00 公x1.50,20,497.45,---,---,---,---,---,---
0104,國立臺灣師範大學,健康促進與衛生教育學系,國x1.00 英x1.50 數甲x1.00 生x1.50,9,328.43,---,370.72,---,---,---,---
0105,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,國x1.75 英x2.00 數乙x2.00,8,433.70,---,---,---,---,---,---
0106,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,國x2.00 英x2.00 數乙x1.75,7,425.60,---,---,---,---,---,---
0107,國立臺灣師範大學,公民教育與活動領導學系,國x1.25 英x1.25 數乙x1.00 公x2.00,37,401.04,---,---,---,---,---,---
0110,國立臺灣師範大學,特殊教育學系,國x1.25 英x1.25 數乙x1.00,14,261.24,---,266.43,---,---,---,---
0111,國立臺灣師範大學,學習科學學士學位學程,國x1.50 英x1.50 數甲x2.00,5,326.05,---,---,---,---,---,---
0112,國立臺灣師範大學,教育學院學士班,國x1.00 英x1.00 公x1.00,6,231.25,---,---,---,---,---,---
0113,國立臺灣師範大學,國文學系,國x2.00 英x1.50 歷x1.00 地x1.00,29,429.43,---,---,---,---,---,---
0114,國立臺灣師範大學,英語學系,國x1.50 英x2.00 數乙x1.00 歷x1.00 地x1.00,31,501.60,---,---,---,---,---,---
0115,國立臺灣師範大學,歷史學系,國x1.25 英x1.25 數乙x1.00 歷x1.50 地x1.00,24,462.80,---,---,---,---,---,---
0116,國立臺灣師範大學,地理學系,國x1.00 英x1.25 數乙x1.00 歷x1.00 地x1.50,24,443.66,---,470.62,---,---,---,---
0117,國立臺灣師範大學,臺灣語文學系,國x1.00 英x1.50 歷x1.50 地x1.00 公x1.50,13,498.08,---,---,---,---,---,---
0120,國立臺灣師範大學,數學系,英x1.00 數甲x2.00 物x1.00,31,233.15,---,---,---,---,---,---
0121,國立臺灣師範大學,物理學系,國x1.00 英x1.00 數甲x1.50 物x1.75 化x1.00,19,377.43,---,---,---,---,---,---
0122,國立臺灣師範大學,化學系,國x1.00 英x1.25 數甲x1.00 物x1.50 化x1.75,34,407.56,---,---,---,---,---,---
0123,國立臺灣師範大學,生命科學系,國x1.00 英x1.25 數甲x1.00 化x1.25 生x1.50,22,414.38,---,---,---,---,---,---
0124,國立臺灣師範大學,地球科學系,英x1.00 數甲x2.00 物x2.00 化x1.50,12,359.35,---,---,---,---,---,---
0125,國立臺灣師範大學,資訊工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,13,339.70,---,---,---,---,---,---
0126,國立臺灣師範大學,營養科學學士學位學程,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,16,433.20,---,---,---,---,---,---
0127,國立臺灣師範大學,工業教育學系,國x1.00 英x1.50 數甲x1.50,1,274.13,---,---,---,---,---,---
0130,國立臺灣師範大學,科技應用與人力資源發展學系,國x1.00 英x1.25 數甲x1.25 物x1.00 化x1.00,12,320.39,---,---,---,---,---,---
0131,國立臺灣師範大學,圖文傳播學系,國x1.25 英x1.25 數甲x1.00 物x1.00 化x1.00,11,323.39,---,---,---,---,---,---
0132,國立臺灣師範大學,機電工程學系,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,21,447.63,---,---,---,---,---,---
0133,國立臺灣師範大學,電機工程學系,國x1.00 英x2.00 數甲x2.00 物x2.00 化x1.00,16,529.00,---,---,---,---,---,---
0134,國立臺灣師範大學,車輛與能源工程學士學位學程,國x1.00 英x1.00 數甲x1.50 物x1.50,4,294.75,---,---,---,---,---,---
0135,國立臺灣師範大學,光電工程學士學位學程,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.50,10,452.40,---,---,---,---,---,---
0136,國立臺灣師範大學,華語文教學系應用華語文學組,國x2.00 英x2.00 歷x1.00,15,396.10,---,---,---,---,---,---
0137,國立臺灣師範大學,東亞學系,國x1.50 英x2.00 數乙x1.00 公x1.00,13,410.70,---,---,---,---,---,418.07
0140,國立臺灣師範大學,企業管理學系,國x1.50 英x2.00 數乙x2.00,20,431.00,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0142,國立臺灣師範大學,音樂學系,國x1.00 英x1.00 術x2.00,1,336.44,---,---,---,---,---,---
0143,國立臺灣師範大學,表演藝術學士學位學程,國x1.75 英x1.25 術x1.50,1,290.34,---,---,---,---,---,---
0144,國立臺灣師範大學,設計學系視覺設計組,國x1.25 英x1.25 歷x1.00 術x2.00,6,421.08,---,---,---,---,---,---
0145,國立臺灣師範大學,美術學系繪畫組,國x1.00 英x1.00 歷x1.00 術x2.00,5,342.09,---,---,---,---,---,---
0146,國立臺灣師範大學,美術學系水墨畫組,國x1.00 英x1.00 歷x1.00 術x2.00,5,327.95,---,---,---,---,---,---
0147,國立臺灣師範大學,體育與運動科學系,國x1.00 英x1.00 數甲x1.00 生x2.00 術x2.00,7,386.56,---,387.89,---,---,---,---
0150,國立中興大學,中國文學系,國x2.00 英x1.50 歷x1.25,24,359.75,國文78.00,---,---,---,---,---
0151,國立中興大學,外國語文學系,國x1.00 英x2.00 數乙x1.00 歷x1.00 地x1.00,34,450.10,---,---,---,---,---,---
0152,國立中興大學,歷史學系,國x1.00 英x1.00 數乙x1.00 歷x1.50 地x1.00,22,411.15,---,486.96,---,---,---,---
0153,國立中興大學,台灣人文創新學士學位學程,國x2.00 英x1.00 歷x1.50 地x1.50,3,464.90,---,---,---,---,---,---
0154,國立中興大學,財務金融學系,國x1.00 英x2.00 數乙x2.00,28,398.50,---,---,---,---,---,---
0155,國立中興大學,企業管理學系,國x1.00 英x2.00 數乙x2.00,19,387.80,---,---,---,---,---,---
0156,國立中興大學,法律學系,國x1.50 英x1.00 數乙x1.00 歷x1.00 公x1.50,23,463.60,---,483.10,---,---,---,---
0157,國立中興大學,行銷學系,國x1.00 英x2.00 數乙x2.00,22,387.30,數學乙82.00,---,---,---,---,---
0160,國立中興大學,資訊管理學系,國x1.00 英x2.00 數甲x2.00,16,333.60,---,---,---,---,---,---
0161,國立中興大學,會計學系,國x1.00 英x2.00 數乙x2.00,16,397.50,---,---,---,---,---,---
0162,國立中興大學,應用經濟學系,國x1.00 英x2.00 數甲x1.50,21,298.90,---,---,---,---,---,---
0163,國立中興大學,化學系,國x1.00 英x1.50 數甲x2.00 物x1.00 化x2.00,28,452.98,---,---,---,---,---,---
0164,國立中興大學,物理學系一般物理組,國x1.00 英x1.50 數甲x1.50 物x1.50 化x1.00,15,381.35,---,---,---,---,---,---
0165,國立中興大學,物理學系光電物理組,國x1.00 英x1.50 數甲x1.50 物x1.50 化x1.00,11,391.85,---,---,---,---,---,---
0166,國立中興大學,應用數學系應用數學組,國x1.00 英x1.50 數甲x2.00 物x1.50 化x1.00,13,391.85,---,413.32,---,---,---,---
0167,國立中興大學,應用數學系數據科學與計算組,國x1.00 英x1.50 數甲x2.00 物x1.50 化x1.00,15,394.18,---,---,---,---,---,---
0170,國立中興大學,機械工程學系,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,41,429.93,---,---,---,---,---,---
0171,國立中興大學,土木工程學系,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,38,406.55,---,407.76,---,---,---,---
0172,國立中興大學,環境工程學系,國x1.00 英x1.00 數甲x1.50 物x1.50 化x1.50,18,366.65,---,---,---,---,---,---
0173,國立中興大學,化學工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,36,308.70,數學甲49.60,---,---,---,---,---
0174,國立中興大學,材料科學與工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,31,317.80,---,---,---,---,---,---
0175,國立中興大學,智慧創意工程學士學位學程,國x1.00 英x1.00 數甲x1.50 物x1.00 化x1.00,7,336.13,---,---,---,---,---,---
0176,國立中興大學,資訊科學與工程學系,國x1.00 英x1.50 數甲x1.00 物x1.00 化x1.00,15,377.65,---,382.88,---,---,---,---
0177,國立中興大學,電機工程學系甲組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,3,361.85,---,---,---,---,---,---
0200,國立中興大學,電機工程學系乙組,國x1.00 英x1.25 數甲x1.00 物x1.00 化x1.00,29,364.70,---,371.32,---,---,---,---
0201,國立中興大學,電機資訊學院學士班,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,12,345.30,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0203,國立中興大學,生物產業機電工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,25,286.40,---,301.05,---,---,---,---
0204,國立中興大學,農藝學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,19,376.05,---,---,---,---,---,---
0205,國立中興大學,園藝學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x2.00,16,399.75,---,---,---,---,---,---
0206,國立中興大學,森林學系林學組,英x1.50 數甲x1.00 物x1.00 化x1.00 生x1.50,10,309.75,---,---,---,---,---,---
0207,國立中興大學,森林學系木材科學組,英x1.50 數甲x1.00 物x1.25 化x1.50 生x1.00,10,315.85,---,---,---,---,---,---
0210,國立中興大學,植物病理學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,20,399.58,---,---,---,---,---,---
0211,國立中興大學,昆蟲學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,27,356.15,---,356.60,---,---,---,---
0212,國立中興大學,動物科學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,20,418.85,---,---,---,---,---,---
0213,國立中興大學,土壤環境科學系,英x2.00 數甲x1.00 物x1.00 化x2.00 生x2.00,23,416.40,---,---,---,---,---,---
0214,國立中興大學,食品暨應用生物科技學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,12,410.18,---,---,---,---,---,---
0215,國立中興大學,生物科技學士學位學程,國x1.00 英x1.50 物x1.00 化x1.50 生x1.50,11,418.60,---,---,---,---,---,---
0216,國立中興大學,景觀與遊憩學士學位學程,國x1.00 英x1.50 數甲x1.50 物x1.00,11,276.15,---,---,---,---,---,---
0217,國立中興大學,國際農企業學士學位學程,國x1.00 英x2.00 數甲x1.00 生x1.00,6,309.00,---,---,---,---,---,---
0220,國立中興大學,生命科學系,國x1.00 英x1.25 數甲x1.00 化x1.75 生x1.75,24,418.65,---,---,---,---,---,---
0221,國立中興大學,獸醫學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x1.50,34,507.58,---,---,513.89,---,---,---
0222,國立成功大學,中國文學系,國x1.50 英x1.00 數乙x1.00 歷x1.00 地x1.00,43,411.00,---,411.66,---,---,---,---
0223,國立成功大學,外國語文學系,國x1.50 英x2.00 數乙x1.00 歷x1.00 地x1.00,38,498.20,---,---,---,---,---,---
0224,國立成功大學,歷史學系,國x1.25 英x1.25 歷x1.50 地x1.00,28,393.75,---,---,---,---,---,---
0225,國立成功大學,台灣文學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,27,445.10,---,---,---,---,---,---
0226,國立成功大學,數學系,英x1.50 數甲x2.00 物x1.50,31,315.83,---,---,---,---,---,---
0227,國立成功大學,物理學系,國x1.00 英x1.00 數甲x1.50 物x1.50 化x1.00,22,395.15,---,---,---,---,---,---
0230,國立成功大學,化學系,國x1.00 英x1.00 數甲x1.25 物x1.25 化x1.50,25,406.22,---,420.31,---,---,---,---
0231,國立成功大學,地球科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,23,308.80,---,333.25,---,---,---,---
0232,國立成功大學,光電科學與工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,34,347.05,---,---,---,---,---,---
0233,國立成功大學,機械工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,122,324.50,---,---,---,---,---,---
0234,國立成功大學,機械工程學系(普渡雙聯組),國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,1,380.00,---,---,---,---,---,---
0235,國立成功大學,化學工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,102,339.85,---,343.10,---,---,---,---
0236,國立成功大學,材料科學及工程學系,國x1.00 英x1.00 數甲x1.00 物x1.50 化x1.50,35,437.65,---,---,---,---,---,---
0237,國立成功大學,資源工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,25,315.75,---,---,---,---,---,---
0240,國立成功大學,土木工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,57,318.05,---,---,---,---,---,---
0241,國立成功大學,水利及海洋工程學系,國x1.00 英x1.25 數甲x1.75 物x1.50,22,331.11,---,---,---,---,---,---
0242,國立成功大學,工程科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,25,346.40,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0244,國立成功大學,航空太空工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,36,330.95,---,---,---,---,---,---
0245,國立成功大學,環境工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,24,315.05,---,---,---,---,---,---
0246,國立成功大學,測量及空間資訊學系,國x1.00 英x1.00 數甲x1.00 物x1.00,21,247.90,---,252.72,---,---,---,---
0247,國立成功大學,生物醫學工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,12,348.50,---,---,---,---,---,---
0250,國立成功大學,工業與資訊管理學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,36,329.60,---,---,---,---,---,---
0251,國立成功大學,交通管理科學系,國x1.00 英x1.25 數甲x1.25 物x1.00,27,277.36,---,---,---,---,---,---
0252,國立成功大學,企業管理學系,國x1.00 英x1.25 數乙x1.00,35,259.60,---,---,---,---,---,---
0253,國立成功大學,統計學系,國x1.00 英x1.50 數甲x1.50,33,284.03,---,---,---,---,---,---
0254,國立成功大學,會計學系,國x1.00 英x2.00 數乙x2.00,26,414.60,英文82.50,---,---,---,---,---
0255,國立成功大學,醫學系(自費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,20,435.05,---,---,---,---,---,---
0256,國立成功大學,醫學系(公費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,5,409.95,---,---,---,---,---,---
0257,國立成功大學,牙醫學系,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,16,415.75,數學甲82.40,432.95,---,---,---,---
0260,國立成功大學,醫學檢驗生物技術學系,國x1.00 英x1.25 數甲x1.00 化x1.25 生x1.25,24,427.23,---,435.57,---,---,---,---
0261,國立成功大學,護理學系,國x1.00 英x1.50 數甲x1.00 化x1.00 生x1.50,20,420.98,---,421.86,---,---,---,---
0262,國立成功大學,職能治療學系,國x1.00 英x1.00 數甲x1.00 物x1.00 生x1.00,15,356.95,---,---,---,---,---,---
0263,國立成功大學,物理治療學系,國x1.00 英x1.25 數甲x1.00 物x1.00 生x1.00,20,382.15,---,---,---,---,---,---
0264,國立成功大學,藥學系,國x1.00 英x1.00 數甲x1.00 化x1.25 生x1.00,12,429.60,---,---,---,---,---,---
0265,國立成功大學,政治學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 公x1.00,36,416.66,---,---,---,---,---,---
0266,國立成功大學,經濟學系,國x1.50 英x2.00 數乙x2.00,30,447.00,---,---,---,---,---,---
0267,國立成功大學,法律學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,42,397.30,---,458.19,---,---,---,---
0270,國立成功大學,心理學系,國x1.00 英x1.50 數甲x1.50 化x1.00 生x1.00,31,428.28,---,---,---,---,---,---
0271,國立成功大學,電機工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,50,380.10,數學甲63.20,---,386.87,---,---,---
0272,國立成功大學,電機工程學系(普渡雙聯組),國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,1,405.45,---,---,---,---,---,---
0273,國立成功大學,資訊工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,72,369.10,數學甲68.00,---,---,---,---,---
0274,國立成功大學,資訊工程學系(普渡雙聯組),國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,1,388.75,---,---,---,---,---,---
0275,國立成功大學,建築學系,國x1.25 英x1.00 數甲x1.25 物x1.25 化x1.00,20,403.48,---,---,---,---,---,---
0276,國立成功大學,都市計劃學系(自然組),國x1.50 英x1.50 數甲x1.50 物x1.00 化x1.00,10,413.35,---,---,---,---,---,---
0277,國立成功大學,都市計劃學系(社會組),國x1.50 英x1.50 數乙x1.50 歷x1.00 地x1.00,8,515.55,---,---,---,---,---,---
0300,國立成功大學,工業設計學系,國x1.00 英x1.50 數甲x1.00 物x1.50 化x1.00,21,383.98,---,---,---,---,---,---
0301,國立成功大學,生命科學系,英x1.25 數甲x1.00 物x1.00 化x1.50 生x1.50,18,423.70,---,---,---,---,---,---
0302,國立成功大學,生物科技與產業科學系,英x1.50 數甲x1.00 物x1.00 化x1.50 生x1.50,12,435.15,---,---,---,---,---,---
0303,國立成功大學,全校不分系學士學位學程,國x1.00 英x1.00 數甲x1.50 物x1.00 化x1.00,6,400.50,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0305,東吳大學,歷史學系,國x2.00 英x1.50 歷x2.00,12,385.60,---,---,---,---,---,---
0306,東吳大學,哲學系,國x2.00 英x2.00 數乙x2.00 公x1.00,13,392.30,---,---,---,---,---,---
0307,東吳大學,政治學系,國x1.50 英x1.50 數乙x1.00 公x1.50,31,363.10,---,---,---,---,---,---
